№,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Son Heung-Min,Tottenham,7,566,8.0,8.0,2.0,3.09-4.91,3.09-4.91,1.79-0.21,5.33,1.96,0.49,0.49,0.28,0.78,0.78,0.85,0.31
Dominic Calvert-Lewin,Everton,7,613,8.0,8.0,0.0,5.77-2.23,5.77-2.23,0.35+0.35,5.68,1.28,0.85,0.85,0.05,0.90,0.90,0.83,0.19
Jamie Vardy,Leicester,6,469,7.0,3.0,1.0,5.71-1.29,2.67-0.33,0.65-0.35,3.58,0.27,1.10,0.51,0.12,1.22,0.64,0.69,0.05
Mohamed Salah,Liverpool,7,630,7.0,4.0,0.0,5.15-1.85,2.86-1.14,1.95+1.95,6.76,2.76,0.74,0.41,0.28,1.01,0.69,0.97,0.39
Callum Wilson,Newcastle United,7,624,6.0,3.0,1.0,6.27+0.27,3.98+0.98,0.92-0.08,5.19,0.31,0.90,0.57,0.13,1.04,0.71,0.75,0.04
Harry Kane,Tottenham,7,627,6.0,4.0,8.0,6.14+0.14,4.62+0.62,3.60-4.40,6.57,0.73,0.88,0.66,0.52,1.40,1.18,0.94,0.10
Patrick Bamford,Leeds,7,586,6.0,6.0,1.0,4.18-1.82,4.18-1.82,0.35-0.65,5.23,1.04,0.64,0.64,0.05,0.70,0.70,0.80,0.16
Wilfried Zaha,Crystal Palace,7,630,5.0,3.0,1.0,4.15-0.85,2.63-0.37,1.70+0.70,4.72,0.80,0.59,0.38,0.24,0.84,0.62,0.67,0.11
Danny Ings,Southampton,7,626,5.0,4.0,2.0,2.48-2.52,1.72-2.28,0.39-1.61,2.36,0.51,0.36,0.25,0.06,0.41,0.30,0.34,0.07
Jack Grealish,Aston Villa,6,540,4.0,4.0,4.0,2.60-1.40,2.60-1.40,2.87-1.13,5.43,1.63,0.43,0.43,0.48,0.91,0.91,0.91,0.27
Sadio Mané,Liverpool,6,531,4.0,4.0,1.0,4.01+0.01,4.01+0.01,1.21+0.21,5.96,1.32,0.68,0.68,0.20,0.88,0.88,1.01,0.22
Neal Maupay,Brighton,6,540,4.0,2.0,1.0,4.35+0.35,2.83+0.83,0.56-0.44,3.83,0.89,0.73,0.47,0.09,0.82,0.57,0.64,0.15
Raúl Jiménez,Wolverhampton Wanderers,7,630,4.0,4.0,0.0,2.13-1.87,2.13-1.87,0.51+0.51,2.81,0.72,0.30,0.30,0.07,0.38,0.38,0.40,0.10
Ollie Watkins,Aston Villa,6,540,4.0,3.0,1.0,3.78-0.22,3.02+0.02,0.58-0.42,4.27,1.73,0.63,0.50,0.10,0.73,0.60,0.71,0.29
Timo Werner,Chelsea,7,612,3.0,3.0,1.0,2.71-0.29,2.71-0.29,0.63-0.37,3.7,0.95,0.40,0.40,0.09,0.49,0.49,0.54,0.14
Michail Antonio,West Ham,6,490,3.0,3.0,0.0,2.96-0.04,2.96-0.04,0.34+0.34,3.65,0.60,0.54,0.54,0.06,0.61,0.61,0.67,0.11
James Ward-Prowse,Southampton,7,630,3.0,3.0,1.0,0.65-2.35,0.65-2.35,0.97-0.03,1.48,1.16,0.09,0.09,0.14,0.23,0.23,0.21,0.17
Kurt Zouma,Chelsea,6,540,3.0,3.0,0.0,0.55-2.45,0.55-2.45,0.02+0.02,0.55,0.55,0.09,0.09,0.00,0.10,0.10,0.09,0.09
Bruno Fernandes,Manchester United,6,484,3.0,1.0,2.0,2.72-0.28,0.43-0.57,1.40-0.60,2.05,0.58,0.50,0.08,0.26,0.77,0.34,0.38,0.11
Jorginho,Chelsea,6,442,3.0,0.0,1.0,3.12+0.12,0.07+0.07,0.15-0.85,1.37,1.37,0.63,0.02,0.03,0.67,0.05,0.28,0.28
Jarrod Bowen,West Ham,7,602,3.0,3.0,0.0,2.29-0.71,2.29-0.71,0.24+0.24,3.27,0.96,0.34,0.34,0.04,0.38,0.38,0.49,0.14
James Rodríguez,Everton,6,521,3.0,3.0,3.0,1.85-1.15,1.85-1.15,2.76-0.24,4.76,2.31,0.32,0.32,0.48,0.80,0.80,0.82,0.40
Alexandre Lacazette,Arsenal,6,427,3.0,3.0,0.0,2.46-0.54,2.46-0.54,0.31+0.31,2.97,0.33,0.52,0.52,0.07,0.58,0.58,0.63,0.07
Youri Tielemans,Leicester,7,630,3.0,1.0,0.0,2.27-0.73,0.74-0.26,0.08+0.08,2.87,2.20,0.32,0.11,0.01,0.33,0.12,0.41,0.31
Diogo Jota,Liverpool,5,212,3.0,3.0,0.0,1.39-1.61,1.39-1.61,0.22+0.22,2.49,0.88,0.59,0.59,0.10,0.68,0.68,1.06,0.37
Jannik Vestergaard,Southampton,6,492,2.0,2.0,0.0,0.50-1.50,0.50-1.50,0.51+0.51,1.11,1.11,0.09,0.09,0.09,0.18,0.18,0.20,0.20
Pierre-Emerick Aubameyang,Arsenal,7,627,2.0,1.0,1.0,1.35-0.65,0.59-0.41,1.14+0.14,2.5,0.85,0.19,0.08,0.16,0.36,0.25,0.36,0.12
Marcus Rashford,Manchester United,6,540,2.0,2.0,2.0,1.45-0.55,1.45-0.55,0.50-1.50,2.11,0.65,0.24,0.24,0.08,0.32,0.32,0.35,0.11
Ross Barkley,"Aston Villa, Chelsea",6,395,2.0,2.0,0.0,1.19-0.81,1.19-0.81,0.82+0.82,2.32,0.67,0.27,0.27,0.19,0.46,0.46,0.53,0.15
Raheem Sterling,Manchester City,6,534,2.0,2.0,1.0,1.55-0.45,1.55-0.45,1.71+0.71,4.68,2.56,0.26,0.26,0.29,0.55,0.55,0.79,0.43
Aleksandar Mitrovic,Fulham,7,566,2.0,1.0,2.0,3.06+1.06,1.54+0.54,1.40-0.60,2.92,0.30,0.49,0.24,0.22,0.71,0.47,0.46,0.05
Tyrone Mings,Aston Villa,6,540,2.0,2.0,1.0,0.94-1.06,0.94-1.06,0.07-0.93,1.13,1.12,0.16,0.16,0.01,0.17,0.17,0.19,0.19
Michael Keane,Everton,7,630,2.0,2.0,0.0,1.20-0.80,1.20-0.80,0.14+0.14,2.51,2.37,0.17,0.17,0.02,0.19,0.19,0.36,0.34
Pablo Fornals,West Ham,7,596,2.0,2.0,2.0,2.10+0.10,2.10+0.10,0.89-1.11,4.03,1.09,0.32,0.32,0.13,0.45,0.45,0.61,0.17
Hélder Costa,Leeds,7,584,2.0,2.0,2.0,0.41-1.59,0.41-1.59,0.49-1.51,2.61,1.98,0.06,0.06,0.08,0.14,0.14,0.40,0.30
Mateusz Klich,Leeds,7,611,2.0,1.0,2.0,0.92-1.08,0.16-0.84,0.54-1.46,3.89,3.41,0.14,0.02,0.08,0.21,0.10,0.57,0.50
Callum Robinson,West Bromwich Albion,7,353,2.0,2.0,0.0,0.33-1.67,0.33-1.67,0.15+0.15,0.69,0.21,0.08,0.08,0.04,0.12,0.12,0.18,0.05
Phil Foden,Manchester City,6,386,2.0,2.0,0.0,1.56-0.44,1.56-0.44,0.20+0.20,2.06,0.35,0.36,0.36,0.05,0.41,0.41,0.48,0.08
Harvey Barnes,Leicester,7,599,2.0,2.0,1.0,1.84-0.16,1.84-0.16,0.09-0.91,2.0,0.16,0.28,0.28,0.01,0.29,0.29,0.30,0.02
Bobby Reid,Fulham,6,309,2.0,2.0,0.0,1.47-0.53,1.47-0.53,0.00,1.72,0.25,0.43,0.43,0.00,0.43,0.43,0.50,0.07
Che Adams,Southampton,7,601,2.0,2.0,2.0,3.11+1.11,3.11+1.11,1.09-0.91,3.34,0.65,0.47,0.47,0.16,0.63,0.63,0.50,0.10
Allan Saint-Maximin,Newcastle United,6,430,1.0,1.0,1.0,0.70-0.30,0.70-0.30,1.25+0.25,2.65,0.78,0.15,0.15,0.26,0.41,0.41,0.55,0.16
Kevin De Bruyne,Manchester City,5,381,1.0,0.0,2.0,1.67+0.67,0.91+0.91,1.52-0.48,2.91,1.28,0.40,0.22,0.36,0.75,0.57,0.69,0.30
Roberto Firmino,Liverpool,7,577,1.0,1.0,2.0,1.80+0.80,1.80+0.80,1.04-0.96,5.18,2.83,0.28,0.28,0.16,0.44,0.44,0.81,0.44
Cheikhou Kouyaté,Crystal Palace,7,630,1.0,1.0,0.0,0.59-0.41,0.59-0.41,0.02+0.02,1.05,1.03,0.08,0.08,0.00,0.09,0.09,0.15,0.15
Manuel Lanzini,West Ham,2,12,1.0,1.0,0.0,0.01-0.99,0.01-0.99,0.04+0.04,0.0,0.00,0.07,0.07,0.28,0.36,0.36,0.00,0.00
Nathan Aké,Manchester City,4,288,1.0,1.0,0.0,0.40-0.60,0.40-0.60,0.02+0.02,0.94,0.93,0.13,0.13,0.01,0.13,0.13,0.30,0.29
Kyle Walker,Manchester City,6,529,1.0,1.0,0.0,0.14-0.86,0.14-0.86,0.10+0.10,2.67,2.49,0.02,0.02,0.02,0.04,0.04,0.45,0.42
Ashley Westwood,Burnley,6,540,1.0,1.0,0.0,0.10-0.90,0.10-0.90,1.11+1.11,1.87,1.33,0.02,0.02,0.19,0.20,0.20,0.31,0.22
Tammy Abraham,Chelsea,6,287,1.0,1.0,1.0,1.86+0.86,1.86+0.86,0.07-0.93,1.15,0.04,0.58,0.58,0.02,0.60,0.60,0.36,0.01
Ola Aina,Fulham,4,360,1.0,1.0,0.0,0.04-0.96,0.04-0.96,0.12+0.12,0.52,0.48,0.01,0.01,0.03,0.04,0.04,0.13,0.12
Riyad Mahrez,Manchester City,5,433,1.0,1.0,1.0,0.90-0.10,0.90-0.10,0.90-0.10,3.42,2.39,0.19,0.19,0.19,0.37,0.37,0.71,0.50
Andros Townsend,Crystal Palace,7,614,1.0,1.0,2.0,0.57-0.43,0.57-0.43,1.66-0.34,2.78,1.27,0.08,0.08,0.24,0.33,0.33,0.41,0.19
Ben Chilwell,Chelsea,4,360,1.0,1.0,2.0,0.14-0.86,0.14-0.86,0.37-1.63,0.94,0.66,0.03,0.03,0.09,0.13,0.13,0.24,0.16
Virgil van Dijk,Liverpool,5,370,1.0,1.0,0.0,0.55-0.45,0.55-0.45,0.00,1.41,1.29,0.13,0.13,0.00,0.13,0.13,0.34,0.31
Oriol Romeu,Southampton,7,597,1.0,1.0,0.0,0.15-0.85,0.15-0.85,0.09+0.09,1.98,1.87,0.02,0.02,0.01,0.04,0.04,0.30,0.28
Kyle Bartley,West Bromwich Albion,4,360,1.0,1.0,0.0,0.52-0.48,0.52-0.48,0.00,0.21,0.21,0.13,0.13,0.00,0.13,0.13,0.05,0.05
Dennis Praet,Leicester,6,426,1.0,1.0,1.0,0.29-0.71,0.29-0.71,0.73-0.27,1.23,0.96,0.06,0.06,0.15,0.22,0.22,0.26,0.20
Harry Maguire,Manchester United,6,540,1.0,1.0,0.0,0.35-0.65,0.35-0.65,0.09+0.09,1.41,1.33,0.06,0.06,0.01,0.07,0.07,0.23,0.22
Andrew Robertson,Liverpool,7,630,1.0,1.0,2.0,0.94-0.06,0.94-0.06,1.30-0.70,3.65,2.00,0.13,0.13,0.19,0.32,0.32,0.52,0.29
Jeff Hendrick,Newcastle United,7,617,1.0,1.0,1.0,0.36-0.64,0.36-0.64,0.79-0.21,1.88,0.79,0.05,0.05,0.11,0.17,0.17,0.27,0.12
Gareth Bale,Tottenham,2,32,1.0,1.0,0.0,0.73-0.27,0.73-0.27,0.64+0.64,0.63,0.29,2.05,2.05,1.80,3.84,3.84,1.76,0.82
Rodrigo,Leeds,6,320,1.0,1.0,0.0,1.22+0.22,1.22+0.22,0.38+0.38,1.95,1.25,0.34,0.34,0.11,0.45,0.45,0.55,0.35
Lucas Moura,Tottenham,6,344,1.0,1.0,0.0,0.85-0.15,0.85-0.15,0.15+0.15,1.82,0.85,0.22,0.22,0.04,0.26,0.26,0.48,0.22
Romain Saiss,Wolverhampton Wanderers,6,519,1.0,1.0,0.0,0.46-0.54,0.46-0.54,0.34+0.34,1.04,0.41,0.08,0.08,0.06,0.14,0.14,0.18,0.07
Serge Aurier,Tottenham,2,180,1.0,1.0,1.0,0.46-0.54,0.46-0.54,0.74-0.26,1.41,0.46,0.23,0.23,0.37,0.60,0.60,0.70,0.23
Chris Wood,Burnley,6,540,1.0,1.0,0.0,1.79+0.79,1.79+0.79,0.05+0.05,2.07,0.23,0.30,0.30,0.01,0.31,0.31,0.34,0.04
Kai Havertz,Chelsea,7,561,1.0,1.0,1.0,0.71-0.29,0.71-0.29,0.55-0.45,2.96,1.95,0.11,0.11,0.09,0.20,0.20,0.48,0.31
Gabriel Jesus,Manchester City,1,90,1.0,1.0,0.0,0.24-0.76,0.24-0.76,0.24+0.24,1.04,0.56,0.24,0.24,0.24,0.48,0.48,1.04,0.56
Ademola Lookman,Fulham,4,293,1.0,1.0,0.0,0.59-0.41,0.59-0.41,0.36+0.36,2.17,1.29,0.18,0.18,0.11,0.29,0.29,0.67,0.40
Aaron Wan-Bissaka,Manchester United,5,450,1.0,1.0,0.0,0.14-0.86,0.14-0.86,0.05+0.05,0.61,0.42,0.03,0.03,0.01,0.04,0.04,0.12,0.08
Yves Bissouma,Brighton,6,540,1.0,1.0,0.0,0.24-0.76,0.24-0.76,0.02+0.02,1.27,1.10,0.04,0.04,0.00,0.04,0.04,0.21,0.18
Gabriel,Arsenal,6,540,1.0,1.0,0.0,0.77-0.23,0.77-0.23,0.00,1.34,1.34,0.13,0.13,0.00,0.13,0.13,0.22,0.22
Nicolas Pepe,Arsenal,6,197,1.0,1.0,0.0,0.34-0.66,0.34-0.66,0.07+0.07,0.6,0.37,0.15,0.15,0.03,0.19,0.19,0.27,0.17
Tanguy NDombele Alvaro,Tottenham,7,369,1.0,1.0,0.0,0.51-0.49,0.51-0.49,0.13+0.13,2.52,1.97,0.12,0.12,0.03,0.16,0.16,0.61,0.48
Richarlison,Everton,5,384,1.0,0.0,2.0,2.67+1.67,1.91+1.91,1.08-0.92,3.49,0.88,0.63,0.45,0.25,0.88,0.70,0.82,0.21
Jairo Riedewald,Crystal Palace,5,284,1.0,1.0,0.0,0.34-0.66,0.34-0.66,0.15+0.15,0.91,0.46,0.11,0.11,0.05,0.16,0.16,0.29,0.15
Solly March,Brighton,7,583,1.0,1.0,1.0,1.02+0.02,1.02+0.02,0.78-0.22,2.75,1.05,0.16,0.16,0.12,0.28,0.28,0.42,0.16
Jacob Murphy,Newcastle United,3,193,1.0,1.0,0.0,0.10-0.90,0.10-0.90,0.06+0.06,0.07,0.06,0.05,0.05,0.03,0.07,0.07,0.03,0.03
Sébastien Haller,West Ham,6,121,1.0,1.0,0.0,0.27-0.73,0.27-0.73,0.13+0.13,0.18,0.05,0.20,0.20,0.10,0.30,0.30,0.13,0.04
Timothy Castagne,Leicester,6,540,1.0,1.0,2.0,0.64-0.36,0.64-0.36,0.74-1.26,1.88,1.21,0.11,0.11,0.12,0.23,0.23,0.31,0.20
Pedro Neto,Wolverhampton Wanderers,7,580,1.0,1.0,2.0,0.50-0.50,0.50-0.50,1.51-0.49,2.65,1.31,0.08,0.08,0.23,0.31,0.31,0.41,0.20
Callum Hudson-Odoi,Chelsea,4,148,1.0,1.0,0.0,0.17-0.83,0.17-0.83,0.48+0.48,0.78,0.47,0.11,0.11,0.29,0.40,0.40,0.47,0.29
Eddie Nketiah,Arsenal,7,115,1.0,1.0,0.0,0.63-0.37,0.63-0.37,0.00,0.68,0.05,0.49,0.49,0.00,0.49,0.49,0.53,0.04
Yerry Mina,Everton,7,630,1.0,1.0,0.0,0.58-0.42,0.58-0.42,0.00,1.87,1.86,0.08,0.08,0.00,0.08,0.08,0.27,0.27
Grady Diangana,West Bromwich Albion,7,574,1.0,1.0,0.0,0.53-0.47,0.53-0.47,0.09+0.09,0.84,0.47,0.08,0.08,0.01,0.10,0.10,0.13,0.07
Rayan Ait Nouri,Wolverhampton Wanderers,1,90,1.0,1.0,0.0,0.08-0.92,0.08-0.92,0.00,0.32,0.27,0.08,0.08,0.00,0.08,0.08,0.32,0.27
James Maddison,Leicester,6,194,1.0,1.0,0.0,0.19-0.81,0.19-0.81,0.17+0.17,0.93,0.82,0.09,0.09,0.08,0.17,0.17,0.43,0.38
Tom Cairney,Fulham,6,540,1.0,1.0,0.0,0.29-0.71,0.29-0.71,0.35+0.35,2.49,2.17,0.05,0.05,0.06,0.11,0.11,0.41,0.36
Fabián Balbuena,West Ham,5,450,1.0,1.0,0.0,0.17-0.83,0.17-0.83,0.00,0.29,0.29,0.03,0.03,0.00,0.03,0.03,0.06,0.06
Matheus Pereira,West Bromwich Albion,7,582,1.0,1.0,2.0,0.50-0.50,0.50-0.50,0.49-1.51,0.8,0.34,0.08,0.08,0.08,0.15,0.15,0.12,0.05
Bukayo Saka,Arsenal,5,425,1.0,1.0,0.0,1.31+0.31,1.31+0.31,0.22+0.22,2.47,1.17,0.28,0.28,0.05,0.32,0.32,0.52,0.25
Karlan Grant,West Bromwich Albion,3,250,1.0,1.0,0.0,0.21-0.79,0.21-0.79,0.15+0.15,0.29,0.10,0.08,0.08,0.05,0.13,0.13,0.10,0.04
Leandro Trossard,Brighton,7,597,1.0,1.0,1.0,1.33+0.33,1.33+0.33,1.62+0.62,2.7,1.10,0.20,0.20,0.24,0.45,0.45,0.41,0.17
Moussa Djenepo,Southampton,4,235,1.0,1.0,0.0,0.16-0.84,0.16-0.84,0.00,1.16,1.02,0.06,0.06,0.00,0.06,0.06,0.45,0.39
David McGoldrick,Sheffield United,7,300,1.0,1.0,0.0,0.24-0.76,0.24-0.76,0.44+0.44,1.63,0.95,0.07,0.07,0.13,0.20,0.20,0.49,0.28
Billy Sharp,Sheffield United,4,124,1.0,0.0,0.0,1.45+0.45,0.68+0.68,0.00,0.74,0.05,1.05,0.50,0.00,1.05,0.50,0.54,0.04
Conor Hourihane,Aston Villa,2,147,1.0,1.0,1.0,0.42-0.58,0.42-0.58,0.92-0.08,0.53,0.06,0.26,0.26,0.56,0.82,0.82,0.33,0.03
John McGinn,Aston Villa,6,540,1.0,1.0,4.0,0.21-0.79,0.21-0.79,1.42-2.58,2.94,1.48,0.03,0.03,0.24,0.27,0.27,0.49,0.25
Ezri Konsa Ngoyo,Aston Villa,6,540,1.0,1.0,0.0,0.46-0.54,0.46-0.54,0.00,0.55,0.55,0.08,0.08,0.00,0.08,0.08,0.09,0.09
James Justin,Leicester,7,630,1.0,1.0,0.0,0.15-0.85,0.15-0.85,0.17+0.17,1.73,1.57,0.02,0.02,0.02,0.05,0.05,0.25,0.22
Mason Mount,Chelsea,6,451,1.0,1.0,1.0,0.57-0.43,0.57-0.43,1.16+0.16,1.64,1.03,0.11,0.11,0.23,0.34,0.34,0.33,0.21
Aaron Connolly,Brighton,5,292,1.0,1.0,1.0,0.59-0.41,0.59-0.41,0.11-0.89,0.69,0.03,0.18,0.18,0.03,0.21,0.21,0.21,0.01
Reece James,Chelsea,6,451,1.0,1.0,1.0,0.10-0.90,0.10-0.90,0.87-0.13,2.03,1.84,0.02,0.02,0.17,0.19,0.19,0.40,0.37
Tariq Lamptey,Brighton,7,554,1.0,1.0,1.0,0.27-0.73,0.27-0.73,0.55-0.45,2.93,2.61,0.04,0.04,0.09,0.13,0.13,0.48,0.42
Sander Berge,Sheffield United,7,553,1.0,0.0,0.0,0.99-0.01,0.23+0.23,0.48+0.48,1.67,1.05,0.16,0.04,0.08,0.24,0.12,0.27,0.17
Daniel Podence,Wolverhampton Wanderers,6,452,1.0,1.0,2.0,1.19+0.19,1.19+0.19,0.76-1.24,2.46,0.86,0.24,0.24,0.15,0.39,0.39,0.49,0.17
Alexis Mac Allister,Brighton,3,37,1.0,1.0,0.0,0.05-0.95,0.05-0.95,0.00,0.05,0.00,0.13,0.13,0.00,0.13,0.13,0.13,0.00
Jimmy Dunne,Burnley,2,180,1.0,1.0,0.0,0.22-0.78,0.22-0.78,0.10+0.10,0.1,0.04,0.11,0.11,0.05,0.16,0.16,0.05,0.02
Stuart Dallas,Leeds,7,622,1.0,1.0,0.0,0.97-0.03,0.97-0.03,0.31+0.31,3.44,3.08,0.14,0.14,0.04,0.19,0.19,0.50,0.45
Jack Harrison,Leeds,6,534,1.0,1.0,2.0,0.39-0.61,0.39-0.61,2.17+0.17,3.9,1.55,0.07,0.07,0.37,0.43,0.43,0.66,0.26
Donny van de Beek,Manchester United,5,65,1.0,1.0,0.0,0.28-0.72,0.28-0.72,0.05+0.05,0.63,0.30,0.39,0.39,0.06,0.46,0.46,0.88,0.42
Hakim Ziyech,Chelsea,3,98,1.0,1.0,1.0,0.04-0.96,0.04-0.96,0.46-0.54,0.44,0.04,0.04,0.04,0.42,0.46,0.46,0.40,0.04
Fabian Schär,Newcastle United,4,277,0.0,0.0,0.0,0.02+0.02,0.02+0.02,0.00,0.15,0.13,0.01,0.01,0.00,0.01,0.01,0.05,0.04
Joelinton,Newcastle United,6,293,0.0,0.0,0.0,0.06+0.06,0.06+0.06,0.15+0.15,0.66,0.44,0.02,0.02,0.05,0.07,0.07,0.20,0.14
Bernd Leno,Arsenal,7,630,0.0,0.0,0.0,0.00,0.00,0.00,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.13,0.13
Andreas Christensen,Chelsea,4,315,0.0,0.0,0.0,0.05+0.05,0.05+0.05,0.00,1.38,1.38,0.01,0.01,0.00,0.01,0.01,0.39,0.39
Granit Xhaka,Arsenal,6,413,0.0,0.0,0.0,0.27+0.27,0.27+0.27,0.08+0.08,2.96,2.90,0.06,0.06,0.02,0.08,0.08,0.64,0.63
Thiago Alcántara,Liverpool,2,133,0.0,0.0,0.0,0.08+0.08,0.08+0.08,0.21+0.21,1.01,0.89,0.05,0.05,0.14,0.20,0.20,0.69,0.61
Pascal Groß,Brighton,6,151,0.0,0.0,1.0,0.04+0.04,0.04+0.04,0.29-0.71,0.39,0.27,0.02,0.02,0.17,0.20,0.20,0.23,0.16
Ilkay Gündogan,Manchester City,3,119,0.0,0.0,0.0,0.09+0.09,0.09+0.09,0.15+0.15,0.32,0.11,0.07,0.07,0.11,0.18,0.18,0.24,0.08
Joel Matip,Liverpool,2,91,0.0,0.0,0.0,0.09+0.09,0.09+0.09,0.00,0.93,0.93,0.09,0.09,0.00,0.09,0.09,0.92,0.92
Sead Kolasinac,Arsenal,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.43,0.43
Pierre-Emile Højbjerg,Tottenham,7,630,0.0,0.0,1.0,0.03+0.03,0.03+0.03,0.73-0.27,3.87,3.51,0.00,0.00,0.10,0.11,0.11,0.55,0.50
Matt Ritchie,Newcastle United,1,72,0.0,0.0,0.0,0.04+0.04,0.04+0.04,0.04+0.04,0.09,0.05,0.05,0.05,0.05,0.10,0.10,0.11,0.07
Mamadou Sakho,Crystal Palace,4,274,0.0,0.0,0.0,0.02+0.02,0.02+0.02,0.00,0.51,0.51,0.01,0.01,0.00,0.01,0.01,0.17,0.17
Adam Lallana,Brighton,7,381,0.0,0.0,0.0,0.09+0.09,0.09+0.09,0.58+0.58,1.74,1.13,0.02,0.02,0.14,0.16,0.16,0.41,0.27
James Milner,Liverpool,5,59,0.0,0.0,0.0,0.00,0.00,0.02+0.02,0.6,0.60,0.00,0.00,0.03,0.03,0.03,0.91,0.91
Héctor Bellerín,Arsenal,7,630,0.0,0.0,2.0,0.06+0.06,0.06+0.06,0.63-1.37,2.16,1.98,0.01,0.01,0.09,0.10,0.10,0.31,0.28
Mohamed Elneny,Arsenal,4,360,0.0,0.0,0.0,0.14+0.14,0.14+0.14,0.05+0.05,1.77,1.57,0.04,0.04,0.01,0.05,0.05,0.44,0.39
Alex Iwobi,Everton,6,151,0.0,0.0,1.0,0.05+0.05,0.05+0.05,0.58-0.42,1.21,0.58,0.03,0.03,0.35,0.38,0.38,0.72,0.35
Danny Welbeck,Brighton,1,12,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Olivier Giroud,Chelsea,2,27,0.0,0.0,0.0,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.20,0.20
Theo Walcott,"Everton, Southampton",3,190,0.0,0.0,1.0,0.11+0.11,0.11+0.11,0.22-0.78,0.37,0.08,0.05,0.05,0.10,0.16,0.16,0.18,0.04
Joel Ward,Crystal Palace,5,450,0.0,0.0,0.0,0.00,0.00,0.01+0.01,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.11,0.11
Scott Dann,Crystal Palace,3,270,0.0,0.0,0.0,0.30+0.30,0.30+0.30,0.00,0.28,0.28,0.10,0.10,0.00,0.10,0.10,0.09,0.09
Adrián,Liverpool,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.18,0.18
Angelo Ogbonna,West Ham,7,630,0.0,0.0,0.0,0.14+0.14,0.14+0.14,0.15+0.15,0.87,0.87,0.02,0.02,0.02,0.04,0.04,0.12,0.12
Mark Noble,West Ham,3,70,0.0,0.0,0.0,0.00,0.00,0.01+0.01,0.23,0.23,0.00,0.00,0.02,0.02,0.02,0.29,0.29
Aaron Cresswell,West Ham,7,630,0.0,0.0,3.0,0.04+0.04,0.04+0.04,1.18-1.82,2.58,2.04,0.01,0.01,0.17,0.18,0.18,0.37,0.29
Andy Carroll,Newcastle United,5,153,0.0,0.0,0.0,0.26+0.26,0.26+0.26,0.02+0.02,0.38,0.14,0.15,0.15,0.01,0.17,0.17,0.22,0.08
Kieran Gibbs,West Bromwich Albion,2,135,0.0,0.0,0.0,0.00,0.00,0.02+0.02,0.31,0.29,0.00,0.00,0.01,0.01,0.01,0.20,0.19
David de Gea,Manchester United,6,540,0.0,0.0,0.0,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Timothy Fosu-Mensah,Manchester United,1,85,0.0,0.0,0.0,0.02+0.02,0.02+0.02,0.31+0.31,0.4,0.36,0.02,0.02,0.32,0.34,0.34,0.43,0.38
Anthony Martial,Manchester United,3,207,0.0,0.0,0.0,0.07+0.07,0.07+0.07,0.00,0.05,0.04,0.03,0.03,0.00,0.03,0.03,0.02,0.02
Juan Mata,Manchester United,2,149,0.0,0.0,1.0,0.11+0.11,0.11+0.11,0.19-0.81,0.51,0.37,0.06,0.06,0.12,0.18,0.18,0.31,0.23
Odion Ighalo,Manchester United,1,5,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
